original_text,normalized_text
وبالفعل، يا عزيزي، السلطان بينضم للثوار،,وبالفعل، يا عزيزي، السلطان بينضم للثوار،
وبيرفعوا رايته كآخر حاكم شرعي للبلاد.,وبيرفعوا رايته كاخر حاكم شرعي للبلاد.
ولكن، للأسف، يا عزيزي، الثورة بتفشل!,ولكن، للاسف، يا عزيزي، الثوره بتفشل!
السلطان بيتقبض عليه، وبيتاخد بسلاسل للمحاكمة،,السلطان بيتقبض عليه، وبيتاخد بسلاسل للمحاكمه،
بيتقدمله رؤوس أولاده وأحفاده على أطباق،,بيتقدمله رووس اولاده واحفاده علي اطباق،
في محاولة لكسره وكسر سلالته،,في محاوله لكسره وكسر سلالته،
ولكنه، يا عزيزي، بيقول وقتها جملته الشهيرة...,ولكنه، يا عزيزي، بيقول وقتها جملته الشهيره
يعني أولاد الأسرة المحاربة دي,يعني اولاد الاسره المحاربه دي
يا بينتصروا، يا بيستشهدوا وهما بيحاربوا.,يا بينتصروا، يا بيستشهدوا وهما بيحاربوا.
"في النهاية، بيتم نفي ""بهادر شاه"" إلى ""ميانمار""،","في النهايه، بيتم نفي ""بهادر شاه"" الي ""ميانمار""،"
وبيموت هناك بعد 4 سنين،,وبيموت هناك بعد 4 سنين،
وخبر وفاته بيمر بهدوء،,وخبر وفاته بيمر بهدوء،
"ولا يتم الإعلان عنه سواء في ""الهند"" أو في ""بريطانيا""،","ولا يتم الاعلان عنه سواء في ""الهند"" او في ""بريطانيا""،"
كانوا خايفين للجماهير تعرف، فتغضب.,كانوا خايفين للجماهير تعرف، فتغضب.
"للمفارقة، يا عزيزي، ""بهادر شاه"" كان أول سلطان مغولي يتصور بالكاميرا،","للمفارقه، يا عزيزي، ""بهادر شاه"" كان اول سلطان مغولي يتصور بالكاميرا،"
وللأسف، يا عزيزي، كان آخر واحد!,وللاسف، يا عزيزي، كان اخر واحد!
"وبرحيله، بينتهي حُكم آخر أباطرة المغول المسلمين في ""الهند""،","وبرحيله، بينتهي حُكم اخر اباطره المغول المسلمين في ""الهند""،"
وبتنتهي سلالة دامت أكتر من 800 سنة.,وبتنتهي سلاله دامت اكتر من 800 سنه.
ولكن بالرغم من زوال حُكم الأباطرة،,ولكن بالرغم من زوال حُكم الاباطره،
وحتى زوال حُكم الاستعمار من بعدهم،,وحتي زوال حُكم الاستعمار من بعدهم،
"اللي فضل، يا عزيزي، من كل دا كان ""تاج محل""،","اللي فضل، يا عزيزي، من كل دا كان ""تاج محل""،"
مش بس، يا عزيزي، رمز لحكاية حُب،,مش بس، يا عزيزي، رمز لحكايه حُب،
"ولكنه كان طول السنين دي، مراية، زي ما تقول كدا، بتعكس حال ""الهند"" نفسها،","ولكنه كان طول السنين دي، مرايه، زي ما تقول كدا، بتعكس حال ""الهند"" نفسها،"
وتحولاتها من إمبراطورية لدولة حديثة، Modern State.,وتحولاتها من امبراطوريه لدوله حديثه، .
"في ظل دولة ""الهند"" الحديثة المستقلة","في ظل دوله ""الهند"" الحديثه المستقله"
"هنلاقي إن ""تاج محل"" لأول مرة في تاريخه يكون في خطر،","هنلاقي ان ""تاج محل"" لاول مره في تاريخه يكون في خطر،"
"زي ما قُلتلك، ""تاج محل"" لمّا اتبنى، اتبنى في ظل وجود إمبراطورية متسامحة دينيًا،","زي ما قُلتلك، ""تاج محل"" لمّا اتبني، اتبني في ظل وجود امبراطوريه متسامحه دينيًا،"
وقادرة تدمج فنون من كل بلد في معمار واحد.,وقادره تدمج فنون من كل بلد في معمار واحد.
"ولكن لو رُحنا لـ""الهند"" حاليًا،","ولكن لو رُحنا ل""الهند"" حاليًا،"
هنلاقي موجة عنف كبيرة ضد المعالم والآثار الإسلامية،,هنلاقي موجه عنف كبيره ضد المعالم والاثار الاسلاميه،
بتقود هذه الحركة مجموعات هندوسية متطرفة،,بتقود هذه الحركه مجموعات هندوسيه متطرفه،
عندهم منطق بسيط، ولكنه خطير،,عندهم منطق بسيط، ولكنه خطير،
"""(الهند) هندوسية،",""" الهند هندوسيه،"
والمباني اللي بناها المغول والمسلمين,والمباني اللي بناها المغول والمسلمين
"رموز لفترة احتلال أجنبي، وهذا الاحتلال هو الاحتلال المغولي!""","رموز لفتره احتلال اجنبي، وهذا الاحتلال هو الاحتلال المغولي!"""
لمّا المتطرفين بيبصوا للمباني دي، ما بيشوفوش عمارة بديعة،,لمّا المتطرفين بيبصوا للمباني دي، ما بيشوفوش عماره بديعه،
ولا دليل مادي على فترة ازدهار,ولا دليل مادي علي فتره ازدهار
وتعايش بين ناس مختلفة استمر لقرون،,وتعايش بين ناس مختلفه استمر لقرون،
إنما بيشوفوا تاريخ حد تاني، وإنه لازم يتمحي!,انما بيشوفوا تاريخ حد تاني، وانه لازم يتمحي!
"يمكن المكانة العالمية لـ""تاج محل"" حمته،","يمكن المكانه العالميه ل""تاج محل"" حمته،"
حمته من إنه يتعرّض للتخريب،,حمته من انه يتعرّض للتخريب،
ولكن لو جيت، يا عزيزي، بصيت على بعض المباني اللي حواليه،,ولكن لو جيت، يا عزيزي، بصيت علي بعض المباني اللي حواليه،
هتلاقي كتير منها اتهد،,هتلاقي كتير منها اتهد،
"أشهرها مسجد ""بابري""،","اشهرها مسجد ""بابري""،"
واللي عمره بيرجع لأكتر من 500 سنة،,واللي عمره بيرجع لاكتر من 500 سنه،
واتهدم سنة 1992،,واتهدم سنه 1992،
تحت مزاعم إنه اتبنى على موقع معبد هندوسي!,تحت مزاعم انه اتبني علي موقع معبد هندوسي!
مؤخرًا، يا عزيزي، الحملات دي رجعت للحياة وبقوة،,موخرًا، يا عزيزي، الحملات دي رجعت للحياه وبقوه،
"وبتهدد حاجة مثلًا زي مسجد ""شمسي جماعة""،","وبتهدد حاجه مثلًا زي مسجد ""شمسي جماعه""،"
اللي تاريخه بيرجع لحوالي 800 سنة،,اللي تاريخه بيرجع لحوالي 800 سنه،
بدعوى إن هو كمان مكانه معبد هندوسي!,بدعوي ان هو كمان مكانه معبد هندوسي!
"الملفت، يا عزيزي، ولأول مرة، إن ""تاج محل"" نفسه اتحط على هذه القائمة،","الملفت، يا عزيزي، ولاول مره، ان ""تاج محل"" نفسه اتحط علي هذه القايمه،"
وبدأ يتم الترويج لنفس الفكرة،,وبدا يتم الترويج لنفس الفكره،
"إنه ""تحته معبد، ويا جماعة، لازم نهدّه!""","انه ""تحته معبد، ويا جماعه، لازم نهدّه!"""
وإن الأثر اللي تحته أعظم منه بكتير!,وان الاثر اللي تحته اعظم منه بكتير!
طبعًا، يا عزيزي، مش محتاج أقولّك إن القصة أعمق من كدا،,طبعًا، يا عزيزي، مش محتاج اقولّك ان القصه اعمق من كدا،
"""الهند"" بعد الاستقلال حاولت تعمل هوية وطنية متوازنة،","""الهند"" بعد الاستقلال حاولت تعمل هويه وطنيه متوازنه،"
هوية بتجمع فيها كل الديانات،,هويه بتجمع فيها كل الديانات،
ولكن أحزاب كتير بدأت تستعمل الرموز الدينية والتاريخية,ولكن احزاب كتير بدات تستعمل الرموز الدينيه والتاريخيه
كسلاح لتثبيت الهوية، وهدم هوية الآخرين،,كسلاح لتثبيت الهويه، وهدم هويه الاخرين،
فتحولت الآثار الإسلامية،,فتحولت الاثار الاسلاميه،
"اللي هي، تاني، جزء من تراث ""الهند"" العريق،","اللي هي، تاني، جزء من تراث ""الهند"" العريق،"
"""الهند"" حضارة كبيرة، واسعة، مختلفة، جالها ناس من كل حتة،","""الهند"" حضاره كبيره، واسعه، مختلفه، جالها ناس من كل حته،"
تحولت هذه الآثار من رمز تعايش,تحولت هذه الاثار من رمز تعايش
إلى رمز لازم يتمحي، عشان صوت واحد بس اللي يسود!,الي رمز لازم يتمحي، عشان صوت واحد بس اللي يسود!
اللي بيحصل هنا مش بس نزاع على مبنى،,اللي بيحصل هنا مش بس نزاع علي مبني،
لأ، دا نزاع على مَن يملك الماضي،,لا، دا نزاع علي مَن يملك الماضي،
"مين اللي له الحق يحكي حكاية ""الهند""،","مين اللي له الحق يحكي حكايه ""الهند""،"
هل هي بلد الحضارة المشتركة اللي بناها المسلمين والهندوس سوا؟,هل هي بلد الحضاره المشتركه اللي بناها المسلمين والهندوس سوا؟
"ولّا بلد ""نقية"" محتاجة تمسح فصول معيّنة من تاريخها؟","ولّا بلد ""نقيه"" محتاجه تمسح فصول معيّنه من تاريخها؟"
جزء، يا عزيزي، من ضيق المتطرفين,جزء، يا عزيزي، من ضيق المتطرفين
"إن صرح معماري زي ""تاج محل""","ان صرح معماري زي ""تاج محل"""
كان وما زال أهم رمز هندي عالمي،,كان وما زال اهم رمز هندي عالمي،
وزي ما قُلتلك، بيجيله 7 مليون إنسان سنويًا.,وزي ما قُلتلك، بيجيله 7 مليون انسان سنويًا.
"بل إن، يا عزيزي، قلعة ""دلهي"" الحمراء، اللي حكيتلك عنها،","بل ان، يا عزيزي، قلعه ""دلهي"" الحمراء، اللي حكيتلك عنها،"
بيترفع عليها علم الاستقلال كل سنة يوم 15 أغسطس.,بيترفع عليها علم الاستقلال كل سنه يوم 15 اغسطس.
"يمكن، يا عزيزي، أهم درس بيعلمهولنا ""تاج محل""","يمكن، يا عزيزي، اهم درس بيعلمهولنا ""تاج محل"""
مش بس إنه رمز معمار،,مش بس انه رمز معمار،
وإنما أنه رمز الحُب،,وانما انه رمز الحُب،
سواء حُب صادق بين زوج وزوجته،,سواء حُب صادق بين زوج وزوجته،
أو حتى حُب للفن والجمال والعمارة،,او حتي حُب للفن والجمال والعماره،
اللي قادر يعملها آلاف من البشر,اللي قادر يعملها الاف من البشر
على مر سنين، من كل هوية وكل دين،,علي مر سنين، من كل هويه وكل دين،
ويحفظه في مبنى واحد.,ويحفظه في مبني واحد.
"""تاج محل"" مش بس رخام أبيض ومئذنة عالية،","""تاج محل"" مش بس رخام ابيض وميذنه عاليه،"
وإنما، يا عزيزي، مبنى شاهد على الذاكرة،,وانما، يا عزيزي، مبني شاهد علي الذاكره،
ذاكرة بتفكرنا بمعنى جميل،,ذاكره بتفكرنا بمعني جميل،
إن الحُب والجمال، اللي بيجمعنا كبشر,ان الحُب والجمال، اللي بيجمعنا كبشر
أهم بكتير من الهويات، اللي ممكن تفرّقنا،,اهم بكتير من الهويات، اللي ممكن تفرّقنا،
والعصبيات اللي بتخلّي شرط إثبات وجودنا,والعصبيات اللي بتخلّي شرط اثبات وجودنا
هو محو كل حد مش شبهنا،,هو محو كل حد مش شبهنا،
ومحو كل حاجة عملها الحد اللي مش شبهنا،,ومحو كل حاجه عملها الحد اللي مش شبهنا،
المعمار، يا عزيزي، بيكون أهم شاهد يحفظ الحكاية ومعانيها،,المعمار، يا عزيزي، بيكون اهم شاهد يحفظ الحكايه ومعانيها،
من غير ما تتشوه أو تتمحي.,من غير ما تتشوه او تتمحي.
بس كدا، يا عزيزي. أخيرًا، وليس آخرًا،,بس كدا، يا عزيزي. اخيرًا، وليس اخرًا،
ما تنساش تشوف الحلقات اللي فاتت، تشوف الحلقات الجاية،,ما تنساش تشوف الحلقات اللي فاتت، تشوف الحلقات الجايه،
"تنزل تبص على المصادر، ولو احنا على الـ""يوتيوب""، نشترك على القناة.","تنزل تبص علي المصادر، ولو احنا علي ال""يوتيوب""، نشترك علي القناه."
"يا حبيبي يا ""كينيدي""، يا حبيبي!","يا حبيبي يا ""كينيدي""، يا حبيبي!"
كنا لسة هنتغدّى،,كنا لسه هنتغدّي،
كان نفسه يتغدى.,كان نفسه يتغدي.
كان هَفتان!,كان هَفتان!
"مدام ""جاكلين""، البقاء والدوام الله،","مدام ""جاكلين""، البقاء والدوام الله،"
أنا مقدّر جدًا حالة الحزن اللي انتي فيها،,انا مقدّر جدًا حاله الحزن اللي انتي فيها،
بالنيابة عن الـFBI، حابب أوصلّك تعازينا.,بالنيابه عن ال ، حابب اوصلّك تعازينا.
بدل ما تَعزّوني، امسكوا اللي موّته.,بدل ما تَعزّوني، امسكوا اللي موّته.
- ما احنا مسكنا اللي موّته. - يا سلام! وإيه بقى اللي حصل؟,- ما احنا مسكنا اللي موّته. - يا سلام! وايه بقي اللي حصل؟
ما هو اللي موّته...,ما هو اللي موّته
فيه واحد موّته.,فيه واحد موّته.
عشان انتم فَشَلة!,عشان انتم فَشَله!
"يا مدام ""جاكلين""، احنا مش ناقصين!","يا مدام ""جاكلين""، احنا مش ناقصين!"
الناس واكلة وشّنا!,الناس واكله وشّنا!
أنا عايزة أعرف إيه الطلقة الواحدة اللي تقتل جوزي,انا عايزه اعرف ايه الطلقه الواحده اللي تقتل جوزي
وتعوّر المُحافظ في كذا حتة في جسمه، هه؟!,وتعوّر المُحافظ في كذا حته في جسمه، هه
فهّمني، طلقة واحدة ماشية تتفسّح في كل الناس، ولّا إيه؟!,فهّمني، طلقه واحده ماشيه تتفسّح في كل الناس، ولّا ايه
على فكرة، دي نظرية مؤامرة،,علي فكره، دي نظريه موامره،
الروس هُما اللي عاملينها، أنا عارف كويس.,الروس هُما اللي عاملينها، انا عارف كويس.
مؤامرة، آه،,موامره، اه،
قول بقى إنكم جُبَنا،,قول بقي انكم جُبَنا،
ومش عايزين صورة الـFBI تبقى وحشة،,ومش عايزين صوره ال تبقي وحشه،
"وخايفين تكسفوا ""أمريكا"" أكتر ما هي تكسف!","وخايفين تكسفوا ""امريكا"" اكتر ما هي تكسف!"
احنا اللي جُبَنا؟!,احنا اللي جُبَنا
دي حرفيًا انتي وانتي بتهربي من العربية لمّا اتضرب بالنار.,دي حرفيًا انتي وانتي بتهربي من العربيه لمّا اتضرب بالنار.
"الصورة دي، على فكرة، متعدّلة بالـ""فوتوشوب""!","الصوره دي، علي فكره، متعدّله بال""فوتوشوب""!"
"""فوتوشوب"" إيه؟! احنا في الستينات!","""فوتوشوب"" ايه احنا في الستينات!"
وبعدين، انت عايزني يعني أعمل إيه؟!,وبعدين، انت عايزني يعني اعمل ايه
أقف أندب جنبه؟!,اقف اندب جنبه
يبقى لا تعايرينا، ولا نعايرك.,يبقي لا تعايرينا، ولا نعايرك.
أنا غلطانة إني جيت الجهاز الفاشل المجنون المُهزّأ بالشكل دا!,انا غلطانه اني جيت الجهاز الفاشل المجنون المُهزّا بالشكل دا!
لأ، لو سمحتي، اعرفي حدودك!,لا، لو سمحتي، اعرفي حدودك!
إيه دا؟!,ايه دا
"فين الرئيس ""ترامب"" ييجي ينقذ الموقف اللي احنا فيه؟!","فين الرييس ""ترامب"" ييجي ينقذ الموقف اللي احنا فيه"
أعزائي المُشاهدين، السلام عليكم ورحمة الله وبركاته،,اعزايي المُشاهدين، السلام عليكم ورحمه الله وبركاته،
"أهلًا بكم في حلقة جديدة، من برنامج ""الدحّيح""!","اهلًا بكم في حلقه جديده، من برنامج ""الدحّيح""!"
عزيزي المُشاهد الجميل، تعالى نقف من بعيد، نتفرج من بعيد،,عزيزي المُشاهد الجميل، تعالي نقف من بعيد، نتفرج من بعيد،
يوم 22 نوفمبر سنة 1963،,يوم 22 نوفمبر سنه 1963،
"الساعة 12 الضهر، وفين؟ في ""دالاس""، ""تكساس""،","الساعه 12 الضهر، وفين؟ في ""دالاس""، ""تكساس""،"
"بيتحرك موكب الرئيس ""جون كينيدي"" في موكب ""ديلي بلازا""،","بيتحرك موكب الرييس ""جون كينيدي"" في موكب ""ديلي بلازا""،"
ماشي وسط الساحة، وسط تصفيق وهتافات من الجمهور،,ماشي وسط الساحه، وسط تصفيق وهتافات من الجمهور،
الناس بتحيّي الرئيس اللي كان وقتها في عز شعبيته،,الناس بتحيّي الرييس اللي كان وقتها في عز شعبيته،
في عز الـpeak بتاعه.,في عز ال بتاعه.
"""كينيدي""، يا عزيزي، طالع في ""ليموزين"" مكشوفة، ولا اللي بتنقل عزالها،","""كينيدي""، يا عزيزي، طالع في ""ليموزين"" مكشوفه، ولا اللي بتنقل عزالها،"
"وجنبه مراته ""جاكي""،","وجنبه مراته ""جاكي""،"
أمير وأميرة في قصة خيالية ساحرة.,امير واميره في قصه خياليه ساحره.
وفجأة، يا عزيزي، هذا المشهد المثالي بينهار أمامنا،,وفجاه، يا عزيزي، هذا المشهد المثالي بينهار امامنا،
في أقل من 8 ثواني، بنشوف طلقة، والتانية، وأخيرًا التالتة،,في اقل من 8 ثواني، بنشوف طلقه، والتانيه، واخيرًا التالته،
الموكب الجميل بيتحول إلى فوضى عارمة،,الموكب الجميل بيتحول الي فوضي عارمه،
الناس، يا عزيزي، بتفضل في حالة من الذهول،,الناس، يا عزيزي، بتفضل في حاله من الذهول،
ما حدش فاهم إيه اللي حصل دا،,ما حدش فاهم ايه اللي حصل دا،
الرئيس الأمريكي اتضرب عليه نار هو ومراته!,الرييس الامريكي اتضرب عليه نار هو ومراته!
الساعة 1، يا عزيزي، بالظبط، بعد تقريبًا نُص ساعة،,الساعه 1، يا عزيزي، بالظبط، بعد تقريبًا نُص ساعه،
بيطلع المذيع ويعلن الخبر الآتي،,بيطلع المذيع ويعلن الخبر الاتي،
"بعيون مليانة دموع بيخرج ""والتر كرونكايت""","بعيون مليانه دموع بيخرج ""والتر كرونكايت"""
"ويعلن إن الرئيس ""جيه. إف. كينيدي"" مات.","ويعلن ان الرييس ""جيه. اف. كينيدي"" مات."
بعد ساعات، الشرطة بتعلن إنها قبضت على المشتبه فيه الأول،,بعد ساعات، الشرطه بتعلن انها قبضت علي المشتبه فيه الاول،
"واحد اسمه ""لي هارفي أوزوالد""،","واحد اسمه ""لي هارفي اوزوالد""،"
"الراجل دا هيُخلّد للأبد كقاتل الرئيس الأمريكي ""جون إف. كينيدي"".","الراجل دا هيُخلّد للابد كقاتل الرييس الامريكي ""جون اف. كينيدي""."
الحقيقة، يا عزيزي، إن القصة ما خلصتش هنا،,الحقيقه، يا عزيزي، ان القصه ما خلصتش هنا،
وحلقتنا بتبدأ من هنا،,وحلقتنا بتبدا من هنا،
"على حسب كلام المؤرخ ""آرثر شليزنجر""،","علي حسب كلام المورخ ""ارثر شليزنجر""،"
فيه كدا لحظات غيّرت حياة الأمريكان،,فيه كدا لحظات غيّرت حياه الامريكان،
"زي مثلًا لحظة ""بيرل هاربر""،","زي مثلًا لحظه ""بيرل هاربر""،"
"لمّا ""اليابان"" دخلت بطياراتها في مينا أمريكي.","لمّا ""اليابان"" دخلت بطياراتها في مينا امريكي."
وفيه مثلًا لحظة الهبوط على القمر.,وفيه مثلًا لحظه الهبوط علي القمر.
"المؤرخ، يا عزيزي، اللي بتكلم عنه، حط لحظة وفاة ""جون. إف. كينيدي""","المورخ، يا عزيزي، اللي بتكلم عنه، حط لحظه وفاه ""جون. اف. كينيدي"""
"من هذه اللحظات الملحمية في تاريخ ""أمريكا""،","من هذه اللحظات الملحميه في تاريخ ""امريكا""،"
اللحظة دي قَضِت على وهم الأمان عند الأمريكان،,اللحظه دي قَضِت علي وهم الامان عند الامريكان،
الفكرة اللي كان الأمريكان بيحاولوا يبيعوها للعالَم،,الفكره اللي كان الامريكان بيحاولوا يبيعوها للعالَم،
"""نحن وطن آمن،","""نحن وطن امن،"
(أمريكا) استثناء من كل الفوضى،,امريكا استثناء من كل الفوضي،
(أمريكا) ما بيحصلش فيها حروب زي ما بيحصل في (أوروبا),امريكا ما بيحصلش فيها حروب زي ما بيحصل في اوروبا
(أمريكا) ما بتتعرّضش للاغتيالات،,امريكا ما بتتعرّضش للاغتيالات،
اللي احنا كنا بنشوفها في أماكن مختلفة من العالم.,اللي احنا كنا بنشوفها في اماكن مختلفه من العالم.
لكن احنا النهاردة بنشوف الرئيس الأمريكي،,لكن احنا النهارده بنشوف الرييس الامريكي،
رئيس أكبر قوة عُظمى في العالم بيموت قُدّامنا على الشاشات!,رييس اكبر قوه عُظمي في العالم بيموت قُدّامنا علي الشاشات!
احنا في عز الستينات، بنحاول نبيع للعالَم,احنا في عز الستينات، بنحاول نبيع للعالَم
إن احنا القوة الجديدة، احنا القوة اللي بتحكُم،,ان احنا القوه الجديده، احنا القوه اللي بتحكُم،
احنا القوة اللي بتوفرلك أمان،,احنا القوه اللي بتوفرلك امان،
"فإيه بقى القفا دا؟!""","فايه بقي القفا دا """
وهنا بقى، يا عزيزي، هيبدأ يبقى هُناك أسئلة،,وهنا بقي، يا عزيزي، هيبدا يبقي هُناك اسيله،
"هل ""أوزوالد"" دا قاتل فردي كدا لوحده، مع نفسه؟","هل ""اوزوالد"" دا قاتل فردي كدا لوحده، مع نفسه؟"
"ولّا الراجل دا وراه قوة خفية ما عايزة تقتل ""كينيدي""؟","ولّا الراجل دا وراه قوه خفيه ما عايزه تقتل ""كينيدي""؟"
"وهل كانت الخسارة ""كينيدي"" نفسه؟","وهل كانت الخساره ""كينيدي"" نفسه؟"
ولّا حاجة أكبر،,ولّا حاجه اكبر،
حاجة بترمز للقوة والأمان،,حاجه بترمز للقوه والامان،
اللي الحلم الأمريكي بيوفره؟,اللي الحلم الامريكي بيوفره؟
دي، يا عزيزي، مجموعة من الأسئلة،,دي، يا عزيزي، مجموعه من الاسيله،
"اللي ""أمريكا"" لحد النهاردة مش عارفة تجاوب عليها،","اللي ""امريكا"" لحد النهارده مش عارفه تجاوب عليها،"
"بعض المحللين مثلًا وصفوا موت ""كينيدي"" بإنه...","بعض المحللين مثلًا وصفوا موت ""كينيدي"" بانه"
نهاية فكرة إن التاريخ واضح، وإن الحقايق قُدّامهم،,نهايه فكره ان التاريخ واضح، وان الحقايق قُدّامهم،
فجأة كدا، كل حاجة بقت محل شك.,فجاه كدا، كل حاجه بقت محل شك.
"بنهاية الحرب العالمية التانية، ""أمريكا"" خرجت نافشة ريشها،","بنهايه الحرب العالميه التانيه، ""امريكا"" خرجت نافشه ريشها،"
قوة عُظمى على المستويين، السياسي والاقتصادي،,قوه عُظمي علي المستويين، السياسي والاقتصادي،
الناتج القومي، يا عزيزي، زاد، بسم الله، ما شاء الله، 150%،,الناتج القومي، يا عزيزي، زاد، بسم الله، ما شاء الله، 150 ،
دخل الأُسَر عِلي 60%،,دخل الاُسَر عِلي 60 ،
المصانع شغالة بكُل طاقتها،,المصانع شغاله بكُل طاقتها،
وظايف في كل حتة،,وظايف في كل حته،
ملايين الجنود اللي رجعوا من الحرب,ملايين الجنود اللي رجعوا من الحرب
اتشجّعوا إن هُما يتجوزوا ويخلّفوا.,اتشجّعوا ان هُما يتجوزوا ويخلّفوا.
"جيل جديد، يا عزيزي، عُرف بـ""جيل الطفرة""،","جيل جديد، يا عزيزي، عُرف ب""جيل الطفره""،"
دا، يا عزيزي، الجيل اللي ما شافش شَقا،,دا، يا عزيزي، الجيل اللي ما شافش شَقا،
دا الجيل اللي ما حضرش حرب عالمية تانية وكساد عظيم.,دا الجيل اللي ما حضرش حرب عالميه تانيه وكساد عظيم.
بنشوف في الخمسينات ظهور لأول مرة للطبقة الوسطى،,بنشوف في الخمسينات ظهور لاول مره للطبقه الوسطي،
الطبقة اللي بتعيش الحلم الأمريكي بتاع الأفلام،,الطبقه اللي بتعيش الحلم الامريكي بتاع الافلام،
عربية، جنينة، بيت في الضواحي، خطة تقاعد.,عربيه، جنينه، بيت في الضواحي، خطه تقاعد.
ولكن ورا هذا المشهد المثالي، زي ما احنا عارفين،,ولكن ورا هذا المشهد المثالي، زي ما احنا عارفين،
كان هُناك توتر مكتوم تحت السطح، مستني ينفجر في أي لحظة،,كان هُناك توتر مكتوم تحت السطح، مستني ينفجر في اي لحظه،
كما تعلم، يا عزيزي، أول قاعدة في المدينة الفاضلة،,كما تعلم، يا عزيزي، اول قاعده في المدينه الفاضله،
إنه لا توجد مدينة فاضلة!,انه لا توجد مدينه فاضله!
المجتمع دا، يا عزيزي، كان مثالي،,المجتمع دا، يا عزيزي، كان مثالي،
لأنه لم يكُن مسموح لأي شيء غير مثالي أن يظهر،,لانه لم يكُن مسموح لاي شيء غير مثالي ان يظهر،
الشيء الغير مثالي ممكن يبقى موجود، ولكن ما يظهرش،,الشيء الغير مثالي ممكن يبقي موجود، ولكن ما يظهرش،
"كل الرجالة في ""أمريكا"" هُما موظفين في مشروع الحلم الأمريكي الكبير،","كل الرجاله في ""امريكا"" هُما موظفين في مشروع الحلم الامريكي الكبير،"
"""نصحى الصبح، نروح الشغل، نخلّص الشغل ونرجع من الشغل،","""نصحي الصبح، نروح الشغل، نخلّص الشغل ونرجع من الشغل،"
"ما نفكرش برة هذه الحدود.""","ما نفكرش بره هذه الحدود."""
أما الستات اللي شالوا المصانع وقت الحرب، وقت ما كان الرجالة بيحاربوا،,اما الستات اللي شالوا المصانع وقت الحرب، وقت ما كان الرجاله بيحاربوا،
فبعد الحرب، اتقالّهم نفس الجملة اللي بتعبّر عن العجز الذكوري،,فبعد الحرب، اتقالّهم نفس الجمله اللي بتعبّر عن العجز الذكوري،
"""انتي ترجعي المطبخ!""","""انتي ترجعي المطبخ!"""
لو واحدة عندها طموح وقدرات إنها تشتغل،,لو واحده عندها طموح وقدرات انها تشتغل،
هتُقابَل بنظرة دونية وضغط من المجتمع,هتُقابَل بنظره دونيه وضغط من المجتمع
"إن هي ""لأ، اقعدي انتي في البيت.""","ان هي ""لا، اقعدي انتي في البيت."""
ودي الصورة اللي كانت القوى الناعمة بتحاول تظهرها،,ودي الصوره اللي كانت القوي الناعمه بتحاول تظهرها،
في السينما، في التليفزيون، وفي كل حتة، بنشوف رسالة واضحة،,في السينما، في التليفزيون، وفي كل حته، بنشوف رساله واضحه،
الست بتظهر كأنها poster من جزء في حدوتة جميلة،,الست بتظهر كانها من جزء في حدوته جميله،
ربة منزل بتنضّف وبتربّي العيال، واقفة بالريشة كدا.,ربه منزل بتنضّف وبتربّي العيال، واقفه بالريشه كدا.
بنسيب الرجالة والستات، ونرجع للشباب الصغير، النشء، البراعم،,بنسيب الرجاله والستات، ونرجع للشباب الصغير، النشء، البراعم،
هتلاقيهم، يا عزيزي، جواهم بيغلوا،,هتلاقيهم، يا عزيزي، جواهم بيغلوا،
كل حاجة ممنوعة، كل الأفكار بتاعتهم بيتقالّها لأ،,كل حاجه ممنوعه، كل الافكار بتاعتهم بيتقالّها لا،
عشان كدا، هتلاقي المجتمع بيتفاجأ بتمرُّد بيظهر فجأة،,عشان كدا، هتلاقي المجتمع بيتفاجا بتمرُّد بيظهر فجاه،
بيظهر عن طريق الموسيقى الثورية،,بيظهر عن طريق الموسيقي الثوريه،
"موسيقى مثلًا زي الـ""روك آند رول""،","موسيقي مثلًا زي ال""روك اند رول""،"
"وفي أفلام مثلًا، زي فيلم ""متمرد بلا قضية""،","وفي افلام مثلًا، زي فيلم ""متمرد بلا قضيه""،"
"اللي العنوان بتاعه بيعبّر عن ملايين الشباب في ""أمريكا""،","اللي العنوان بتاعه بيعبّر عن ملايين الشباب في ""امريكا""،"
"""أنا عايز أتمرد وخلاص!""","""انا عايز اتمرد وخلاص!"""
كدا، يا عزيزي، أنا ورّيتك هذه الصورة على مستوى الأفراد،,كدا، يا عزيزي، انا ورّيتك هذه الصوره علي مستوي الافراد،
في الخلفية بقى، فيه حاجة كبيرة جدًا جدًا جدًا جدًا جدًا بتحصل،,في الخلفيه بقي، فيه حاجه كبيره جدًا جدًا جدًا جدًا جدًا بتحصل،
"في الخلفية اسمها ""الحرب الباردة"".","في الخلفيه اسمها ""الحرب البارده""."
"""أمريكا""، يا عزيزي، بعد مشروع ""مانهاتن"" كانت متطمنة","""امريكا""، يا عزيزي، بعد مشروع ""مانهاتن"" كانت متطمنه"
إنها الدولة الوحيدة اللي معاها سلاح نووي،,انها الدوله الوحيده اللي معاها سلاح نووي،
"عشان فجأة كدا، يجيلهم السوفييت يقولولهم: ""سلام عليكم!","عشان فجاه كدا، يجيلهم السوفييت يقولولهم: ""سلام عليكم!"
"احنا كمان معانا سلاح نووي.""","احنا كمان معانا سلاح نووي."""
السوفييت بيفجروا أول قنبلة نووية سنة 1949،,السوفييت بيفجروا اول قنبله نوويه سنه 1949،
